norad,order,var_Q,r,p0,f1,precision,recall,n_det,n_false,n_miss,metrique,sigma,beta,cluster
62904,1,6.237918247324343e-05,0.000579287042978,11.845777905162336,0.5573770491803279,0.3863636363636363,1.0,17,27,0,sma,2.0,0.1,1
63600,1,8.425557921742242e-05,0.0001269025563165,1.0668779340768828,1.0,1.0,1.0,2,0,0,sma,2.0,0.1,1
63601,1,5.766691325543335e-05,0.0001681069174082,6.177755476820054,1.0,1.0,1.0,2,0,0,sma,2.0,0.1,1
63603,1,9.854695930988477e-06,1.1641912861486173e-05,67924.68829397789,1.0,1.0,1.0,2,0,0,sma,2.0,0.1,-1
63604,1,5.606682307364968e-05,2.0384977279407864e-05,583.3968175329031,1.0,1.0,1.0,1,0,0,sma,2.0,0.1,1
63630,2,0.0344149114316921,0.0076150602842056,6.675662318192696,0.9565217391304348,1.0,0.9166666666666666,11,0,1,sma,2.0,0.1,1
63919,1,3.0286509149878825e-08,1.6491539058504206e-05,4868.912286545299,0.6153846153846154,0.5,0.8,4,4,1,sma,2.0,0.1,1
63920,1,1.1133421521770717e-08,4.44623405851408e-06,23.872807006499265,0.9166666666666666,0.8461538461538461,1.0,11,2,0,sma,2.0,0.1,1
64095,1,0.6188250126575459,0.0146819513091425,1.7137687044344434,0.8571428571428571,0.75,1.0,3,1,0,sma,2.0,0.1,0
64231,2,0.0001292006483064,0.0266087053977471,20512.708411021616,1.0,1.0,1.0,4,0,0,sma,2.0,0.1,-1
64467,1,4.6616800490741,5.339654720624818,188.8378451180542,0.0533333333333333,0.0273972602739726,1.0,2,71,0,sma,2.0,0.1,-1
64470,2,0.0827788228776113,1.0254478625489037e-05,75.54853329911275,0.5416666666666667,0.3768115942028985,0.9629629629629628,26,43,1,sma,2.0,0.1,1
64527,1,3.414700555433713,3.4841887588796805,2.2101096680271155,0.8571428571428571,0.75,1.0,3,1,0,sma,2.0,0.1,-1
64575,1,1.3708663665875516e-05,8.173517207826026e-07,14637.064873417236,0.4347826086956522,0.2941176470588235,0.8333333333333334,5,12,1,sma,2.0,0.1,-1
64691,1,0.0045307918502166,5.215483159638344e-06,4535.667112417635,1.0,1.0,1.0,2,0,0,sma,2.0,0.1,-1
64694,1,9.901880512274843e-06,5.314132385138756e-08,2626.378555265805,0.7402597402597402,0.5876288659793815,1.0,57,40,0,sma,2.0,0.1,1
64723,1,1.5498126228389797,0.0001063076221564,1.640228104821146,1.0,1.0,1.0,10,0,0,sma,2.0,0.1,-1
64784,2,0.0057328149023523,0.0005106673881155,365.3020539504577,0.861111111111111,0.8157894736842105,0.9117647058823528,31,7,3,sma,2.0,0.1,1
64876,1,0.0040992561115641,0.0002532075222516,7659.543132252993,1.0,1.0,1.0,1,0,0,sma,2.0,0.1,1
64877,1,0.0040467256824433,0.0001370649356338,1.8662251133116363,1.0,1.0,1.0,1,0,0,sma,2.0,0.1,1
64898,1,0.0289931670601974,0.0124340719840664,10135.261812835664,1.0,1.0,1.0,1,0,0,sma,2.0,0.1,-1
65053,1,3.4568118967884217e-06,0.7628622713935744,8149.245285782695,1.0,1.0,1.0,3,0,0,sma,2.0,0.1,-1
65317,1,3.2794694339087367,8.870787677659742e-06,596.3294346499624,0.8727272727272727,0.7741935483870968,1.0,24,7,0,sma,2.0,0.1,-1
65486,1,0.5598205057673449,0.2054883095587309,41225.5850719356,0.3809523809523809,0.2352941176470588,1.0,4,13,0,sma,2.0,0.1,-1
65563,1,2.615840963834345e-05,0.0304522141846787,81.0731820523338,0.0888888888888888,0.0465116279069767,1.0,2,41,0,sma,2.0,0.1,1
65851,1,0.4716357786034426,0.0003911032265143,188.24581279697924,1.0,1.0,1.0,7,0,0,sma,2.0,0.1,0
65852,1,0.8204762860513063,0.00015602447838,54.63390323492501,1.0,1.0,1.0,8,0,0,sma,2.0,0.1,-1
