norad,order,var_Q,r,p0,f1,precision,recall,n_det,n_false,n_miss,metrique,sigma,beta
62216,1,6.764447928804816e-07,9.539828268850542e-06,32558.484880960405,0.8,1.0,0.6666666666666666,2,0,1,sma,2.0,0.1
62485,1,0.1127350671064076,0.4818024749466655,2378.8219400558505,0.7333333333333334,0.8461538461538461,0.6470588235294118,11,2,6,sma,2.0,0.1
62852,2,0.0084343925433225,4.277460532870372,40458.48696809801,0.3636363636363636,0.2857142857142857,0.5,2,5,2,sma,2.0,0.1
62903,1,0.0020011973955276,8.587453454035593e-05,471.1204389432579,0.5882352941176471,0.4166666666666667,1.0,5,7,0,sma,2.0,0.1
62904,1,5.2629755939724494e-05,0.0004923723356068,803.9399668039895,0.5161290322580645,0.3555555555555555,0.9411764705882352,16,29,1,sma,2.0,0.1
63600,1,8.514127810410319e-05,0.0001262005145589,13944.014117867362,1.0,1.0,1.0,2,0,0,sma,2.0,0.1
63601,1,5.764347667072017e-05,0.0001675783255096,5547.840430620351,1.0,1.0,1.0,2,0,0,sma,2.0,0.1
63603,1,0.0077682720374329,1.1626443168934141e-07,78.65784309623535,1.0,1.0,1.0,2,0,0,sma,2.0,0.1
63604,1,1.2446111606860942e-05,4.346657388203887e-05,1.400432951832112,1.0,1.0,1.0,1,0,0,sma,2.0,0.1
63630,1,0.1115797540003462,0.0115559040654647,3602.083759254404,0.9565217391304348,1.0,0.9166666666666666,11,0,1,sma,2.0,0.1
63919,1,1.5103029361032502e-06,1.656873933622532e-05,256.77102418168187,0.6,0.6,0.6,3,2,2,sma,2.0,0.1
63920,1,2.1810200111744666e-07,3.395652728637428e-06,29547.150102341056,0.9166666666666666,0.8461538461538461,1.0,11,2,0,sma,2.0,0.1
64095,1,0.643010804687375,0.0138379849441029,8.880039727918083,0.8571428571428571,0.75,1.0,3,1,0,sma,2.0,0.1
64231,2,0.0001292954488884,0.0581502750411641,3.727065585558222,0.8571428571428571,1.0,0.75,3,0,1,sma,2.0,0.1
64467,2,1.7943450137610482,25.69729770578086,15478.53189397722,0.125,0.0666666666666666,1.0,2,28,0,sma,2.0,0.1
64470,2,0.8993594439322359,0.0012788823779201,253.6428382557967,0.7796610169491525,0.71875,0.8518518518518519,23,9,4,sma,2.0,0.1
64527,1,1.5755143470167008,90.6409424731753,41.90928548409814,0.8,1.0,0.6666666666666666,2,0,1,sma,2.0,0.1
64575,2,2.8447222231161208e-05,1.328412922716065e-06,611.8651350993224,0.5,0.5,0.5,3,3,3,sma,2.0,0.1
64691,1,0.0045652594215693,5.227737393485763e-06,19214.153783125574,1.0,1.0,1.0,2,0,0,sma,2.0,0.1
64694,1,4.32229883212504e-05,4.979818128916307e-07,951.1606119921385,0.8173913043478261,0.8103448275862069,0.8245614035087719,47,11,10,sma,2.0,0.1
64723,2,2.0721915850913613,0.0001294993953386,26311.00675273913,0.9,0.9,0.9,9,1,1,sma,2.0,0.1
64784,2,0.009993167442079,0.000547120877958,87505.90913234446,0.8529411764705882,0.8529411764705882,0.8529411764705882,29,5,5,sma,2.0,0.1
64876,1,0.0034746517183104,0.0002632236283331,823.0612421597417,1.0,1.0,1.0,1,0,0,sma,2.0,0.1
64877,1,0.0197694946998284,9.228248051546316e-05,1900.7759376418592,1.0,1.0,1.0,1,0,0,sma,2.0,0.1
64898,1,0.0484793555074382,0.0601791793405199,330.890561031661,1.0,1.0,1.0,1,0,0,sma,2.0,0.1
65053,1,3.975512975859626e-05,0.1142211780102896,1.0052871896936015,0.7499999999999999,0.6,1.0,3,2,0,sma,2.0,0.1
65317,2,1.222593133493962,9.778491664533952e-05,3044.6802783192084,0.9387755102040816,0.92,0.9583333333333334,23,2,1,sma,2.0,0.1
65486,2,0.8255059849436088,0.3817421933520363,86720.16985654928,0.6666666666666665,0.6,0.75,3,2,1,sma,2.0,0.1
