norad,R2_sma,R2_sma_diff,R2_moyen,n_sauts,saut_median_bruit,amplitude_bruit,R2_manoeuvre,n_evalues
52261,0.9861789882153162,0.9099314762494792,0.9480552322323977,1,2627.5221595885837,2627.5221595885837,,
45089,0.9809919378591713,0.9149594310746677,0.9479756844669195,1,2398.035650047204,2398.035650047204,,
55344,0.9873067081136714,0.8805874366851727,0.9339470723994221,2,661.2074514062239,1282.894265303511,,
47985,0.9614991167888165,0.9000800608429456,0.930789588815881,1,1573.1919682008197,1573.1919682008197,,
50811,0.9800732643895174,0.8672151201704742,0.9236441922799958,2,1015.2353993401987,1801.0373946831212,,
54072,0.961396923152737,0.8750233289613807,0.9182101260570588,1,2993.9415083163804,2993.9415083163804,,
55072,0.9994307210432957,0.833437373859183,0.9164340474512394,4,327.42961272280223,1597.428131901683,0.1650839000940323,4.0
47761,0.9534796230678476,0.8792390187882693,0.9163593209280585,1,1576.905740491731,1576.905740491731,,
51145,0.9589225307134756,0.8688578054750874,0.9138901680942815,1,1557.8150051571042,1557.8150051571042,,
47982,0.9704939813075797,0.8566490995716133,0.9135715404395965,1,1821.5836357490577,1821.5836357490577,,
58324,0.997868330919346,0.8289837681364968,0.9134260495279214,2,1417.3425654288608,2530.2418420605213,,
46380,0.9348837279671587,0.8883770182281724,0.9116303730976656,1,1718.6118999596983,1718.6118999596983,,
45380,0.9796383485268304,0.8414456838610564,0.9105420161939435,1,1866.6231723009316,1866.6231723009316,,
47593,0.9594440072750884,0.861097386928197,0.9102706971016428,1,795.3897157231305,795.3897157231305,,
47889,0.9449832878022787,0.871708209149559,0.9083457484759189,1,1586.9008314471846,1586.9008314471846,,
47174,0.959928518463244,0.8550502695903968,0.9074893940268204,1,1477.4428877457535,1477.4428877457535,,
52624,0.9648092152350973,0.8496691587059937,0.9072391869705455,1,2440.2014551280995,2440.2014551280995,,
56106,0.9644710577579076,0.846388525429817,0.9054297915938623,1,1543.1140500336926,1543.1140500336926,,
55992,0.9674646349981372,0.8428868392797094,0.9051757371389233,1,3038.4638873081053,3038.4638873081053,,
56811,0.9761595049827941,0.8320707267097753,0.9041151158462848,9,296.1154532527117,1717.0310095467285,-2.197321653366089,4.0
45579,0.975172886281014,0.8327409504750948,0.9039569183780544,1,1450.1296815505987,1450.1296815505987,,
47595,0.9522619358643696,0.8529000142043027,0.9025809750343361,1,1403.8538911154403,1403.8538911154403,,
61606,0.9926522009513863,0.8114225002310778,0.902037350591232,4,12092.145373881594,31444.083068774733,-218.87535095214844,4.0
46760,0.9375844146265535,0.8660126625269113,0.9017985385767324,1,1968.4332953534422,1968.4332953534422,,
46296,0.9985362996701975,0.804292864793601,0.9014145822318993,2,876.7779576298489,1451.358927989075,,
46361,0.943445895159033,0.8573532623219179,0.9003995787404755,1,1479.5968217045581,1479.5968217045581,,
46671,0.9637276920031782,0.8360113488411763,0.8998695204221773,1,1338.9540417983817,1338.9540417983817,,
55091,0.9987651811550575,0.8001256820821471,0.8994454316186022,1,1568.5690135186849,1568.5690135186849,,
47136,0.9329950557921197,0.8641275249215208,0.8985612903568203,1,992.2286095572163,992.2286095572163,,
66412,0.98978952344208,0.8057108085767551,0.8977501660094176,2,786090418696.4036,1571634531021.1182,,
47163,0.9642069908146828,0.8312665851609572,0.89773678798782,1,1656.2595460989496,1656.2595460989496,,
53821,0.9754646863167115,0.8199719023463091,0.8977182943315103,1,2314.803794503186,2314.803794503186,,
55148,0.965902633568836,0.8290696252241292,0.8974861293964826,5,230.6420287128952,26152.597549281152,-0.11989894509315491,4.0
46752,0.9582068695461936,0.8361451211491341,0.8971759953476639,1,1389.877332531596,1389.877332531596,,
51107,0.9827148090331161,0.8113843002413067,0.8970495546372115,1,1883.4820332789443,1883.4820332789443,,
53428,0.958277988008029,0.8209432983158486,0.8896106431619388,2,933.8815500257292,1682.7869626877302,,
47514,0.9980512315146702,0.7789741868285462,0.8885127091716083,1,1563.6311121506253,1563.6311121506253,,
44914,0.9505219341126075,0.826443899397856,0.8884829167552317,2,1278.2361697486692,1536.661377773313,,
57048,0.9194992592378778,0.8571110961423504,0.8883051776901141,2,1164.4005168615001,2254.3554018306186,,
51048,0.9990721167005271,0.7719005685723488,0.8854863426364379,2,978.4843428787416,1723.3477362693275,,
61613,0.9853249014455392,0.7838258385238368,0.884575369984688,4,18093.310193271376,26071.732052704774,-129.90676879882812,4.0
56330,0.9799222056473424,0.7885541052750615,0.884238155461202,4,307.1693408179402,6392.860726058808,-1226.3756103515625,4.0
56190,0.9992791748883375,0.7690472393717049,0.8841632071300212,2,1213.4594432943643,2133.5854383815686,,
47865,0.9783319282599077,0.7891753713669623,0.883753649813435,2,659.9742494640419,1078.2602726587043,,
58279,0.9989415519359846,0.767454409901806,0.8831979809188952,4,665.8572100421605,3053.1956058792634,0.7343714237213135,4.0
52749,0.9988872946820555,0.7658225301642549,0.8823549124231552,2,794.4361378212789,1331.0259603580953,,
58314,0.9993991152513755,0.7638528431783793,0.8816259792148774,5,351.932636611282,1863.3852323795804,0.4683656692504883,4.0
46754,0.9907148131917718,0.7722979318100222,0.8815063725008969,1,1300.0319038505136,1300.0319038505136,,
43887,0.9995297197164259,0.7623561411064784,0.8809429304114522,1,1416.5140047768746,1416.5140047768746,,
47875,0.9614544381240461,0.7983600300174929,0.8799072340707694,2,886.131022898505,1366.125774714721,,
45785,0.9990895065354909,0.7599595908963067,0.8795245487158988,1,1038.3099615904207,1038.3099615904207,,
43932,0.9993570373727438,0.7567248627620101,0.8780409500673769,2,511.4504182275924,779.811479884407,,
48036,0.9787626209379096,0.7749417408417891,0.8768521808898493,1,1365.641583595716,1365.641583595716,,
51050,0.999507746125068,0.7528238228060308,0.8761657844655494,1,1027.868822243646,1027.868822243646,,
47478,0.9970336766805155,0.7552932293624681,0.8761634530214918,1,1310.475104936688,1310.475104936688,,
47586,0.9520359791257476,0.7988915906871491,0.8754637849064484,1,1310.3674160392197,1310.3674160392197,,
47495,0.999201455867813,0.7512604291059662,0.8752309424868896,1,1204.2263466043244,1204.2263466043244,,
55017,0.9986200538134539,0.7507909611454218,0.8747055074794379,1,1074.196854322338,1074.196854322338,,
33965,0.9988177381596367,0.7503275785840333,0.874572658371835,2,629.6617668841016,949.1740812373678,,
66860,0.9937727125692837,0.7551460643001607,0.8744593884347223,2,1217.5071941504211,1294.3679844687026,,
47658,0.9547352544939932,0.7938413189436831,0.8742882867188382,1,1024.902587489991,1024.902587489991,,
67100,0.9978585793753979,0.7501983354215594,0.8740284573984787,4,1425.2932649586644,1505.8605179440638,-82.54978942871094,4.0
45221,0.9242609973975984,0.8235377103920697,0.8738993538948341,1,942.942548690256,942.942548690256,,
43780,0.9995091461975192,0.7475938095758767,0.873551477886698,2,756.8485552482217,1114.6922624673487,,
41602,0.9984629898908141,0.7485014656952484,0.8734822277930312,2,697.0929456885514,1193.8491095754753,,
55018,0.9992913237993903,0.7473128301984322,0.8733020769989113,2,927.3705018701799,1535.1364082433163,,
45545,0.9631673716826892,0.7834076480382954,0.8732875098604923,1,1556.0581932839432,1556.0581932839432,,
67333,0.9910638227978401,0.7538269181440259,0.872445370470933,2,1227.5270581717878,1745.5864205176827,,
49412,0.9773262273171828,0.7657823218087989,0.8715542745629908,1,1780.5374226827082,1780.5374226827082,,
66833,0.9388691957564713,0.8030949537283898,0.8709820747424306,3,2951.22884027771,4819.673731161172,-1.4544111490249634,3.0
47507,0.9989930878340796,0.7427558280882396,0.8708744579611596,1,1099.1810290188296,1099.1810290188296,,
47645,0.976605530641192,0.764868717993296,0.870737124317244,1,1219.9629069990874,1219.9629069990874,,
55098,0.9991065285754606,0.7418791876517865,0.8704928581136235,2,670.5219667510097,1025.8838387165622,,
48335,0.8441535744106317,0.8942966137043553,0.8692250940574935,1,2005.3933201551426,2005.3933201551426,,
40904,0.9996083166256711,0.738549208515503,0.869078762570587,3,196.6686398598868,1328.6967993768696,,
