norad,var_Q,r,p0,f1,precision,recall,n_det,n_false,n_miss,metrique,sigma,beta
28885,2.1429879051262235,0.0002294553888321,39542.77346596974,0.6451612903225806,0.4761904761904761,1.0,20,22,0,sma,3.0,0.1
39375,0.0015042402196553,0.0118525979088379,2.777805353788531,0.967032967032967,0.9361702127659576,1.0,44,3,0,sma,3.0,0.1
40258,0.0014090482969228,2.617488485977237e-05,17.372006497891057,0.2857142857142857,0.1666666666666666,1.0,3,15,0,sma,3.0,0.1
41384,0.0019114492463949,0.4999999999999994,453.96209855034704,0.0,0.0,0.0,0,37,25,sma,3.0,0.1
48274,0.1835356192329922,0.0011798567250826,363.3824560180323,0.8333333333333333,0.7142857142857143,1.0,10,4,0,sma,3.0,0.1
49330,9.747120624442235,0.0068502884257005,225.8127183005903,0.967741935483871,0.9375,1.0,15,1,0,sma,3.0,0.1
50321,0.6478867903212049,0.0194177101412437,131.20956447371034,0.6666666666666666,0.5,1.0,2,2,0,sma,3.0,0.1
50322,0.0031661368655972,0.1516796303709789,314.3179879996293,0.7142857142857143,0.5555555555555556,1.0,5,4,0,sma,3.0,0.1
55131,0.4137856100227138,0.010839990701863176,14271.133673535945,0.8571428571428571,0.75,1.0,6,2,0,sma,3.0,0.1
